measured,ag_head,mode,n,spearman,pearson,p,sign_concord,auroc
MPRA logFC (episomal),DNASE,correlation,3976,-0.009167263223672754,-0.005190914558965679,0.5633471399462375,0.4994969818913481,
MPRA logFC (episomal),ATAC,correlation,3976,0.015604255146147022,0.007068554151828749,0.3252703678300463,0.5093058350100603,
MPRA logFC (episomal),CHIP_HISTONE,correlation,3976,-0.0011898810915156744,0.03086724130780324,0.9402107182999407,0.5070422535211268,
MPRA logFC (episomal),RNA_SEQ,correlation,3976,0.009560689197691787,0.015751436146827866,0.5467225530172992,0.505784708249497,
MPRA logFC (episomal),CAGE,correlation,3976,-0.010566941531817902,0.0012957708131064536,0.5053387488682557,0.4972334004024145,
motifbreakR effect (signed),CHIP_TF,correlation,702,0.17807704011670528,0.15213519596086847,2.0564959742215564e-06,0.5413105413105413,
conservation (signed),|DNASE|,correlation,3976,0.045837300461089366,,0.003841330262872284,,
DA-peak accessibility,DNASE,discrimination(AUROC),3976,,,,,0.515279806313241
DA-peak accessibility,ATAC,discrimination(AUROC),3976,,,,,0.5316430023876833
PLAC/PC-HiC loop,CONTACT_MAPS,discrimination(AUROC),3976,,,,,0.6381958205484459
caQTL (underpowered),DNASE,discrimination(AUROC),3976,,,,,0.760427241962775
MPRA-DAV (sig. active),DNASE,discrimination(AUROC),3976,,,,,0.5346440620782726
MPRA-DAV (sig. active),ATAC,discrimination(AUROC),3976,,,,,0.5557287449392713
MPRA-DAV (sig. active),CHIP_HISTONE,discrimination(AUROC),3976,,,,,0.5780634278002699
MPRA-DAV (sig. active),RNA_SEQ,discrimination(AUROC),3976,,,,,0.540310391363023
MPRA-DAV (sig. active),CAGE,discrimination(AUROC),3976,,,,,0.5643792172739541
MPRA-DAV (sig. active),CHIP_TF,discrimination(AUROC),3976,,,,,0.5324089068825911
MPRA-DAV (sig. active),CONTACT_MAPS,discrimination(AUROC),3976,,,,,0.5530364372469636
